,title,name,party,state,district,elected,vote_share (%),age_start,education,end_service
202,Representative,Vern Buchanan,Republican,Florida,16,, 55.5,69.0,M,03/01/2023
203,Representative,Greg Steube,Republican,Florida,17,, 64.6,42.0,D,03/01/2023
204,Representative,Brian Mast,Republican,Florida,18,, 56.3,40.0,B,03/01/2023
205,Representative,Byron Donalds,Republican,Florida,19,, 61.3,42.0,B,03/01/2023
206,Representative,Alcee Hastings,Democratic,Florida,20,, 78.7,84.0,D,06/04/2021
207,Representative,Lois Frankel,Democratic,Florida,21,, 59.0,72.0,D,03/01/2023
208,Representative,Ted Deutch,Democratic,Florida,22,, 58.6,54.0,D,30/09/2022
209,Representative,Debbie Wasserman Schultz,Democratic,Florida,23,, 58.2,54.0,M,03/01/2023
210,Representative,Frederica Wilson,Democratic,Florida,24,, 75.6,78.0,M,03/01/2023
211,Representative,Mario Díaz-Balart,Republican,Florida,25,, 100.0,59.0,B,03/01/2023
212,Representative,Carlos A. Giménez,Republican,Florida,26,, 51.7,66.0,B,03/01/2023
213,Representative,María Elvira Salazar,Republican,Florida,27,, 51.4,59.0,M,03/01/2023
214,Representative,Buddy Carter,Republican,Georgia,1,, 58.3,63.0,B,03/01/2023
215,Representative,Sanford Bishop,Democratic,Georgia,2,, 59.1,73.0,D,03/01/2023
216,Representative,Drew Ferguson,Republican,Georgia,3,, 65.0,54.0,D,03/01/2023
217,Representative,Hank Johnson,Democratic,Georgia,4,, 80.1,66.0,D,03/01/2023
218,Representative,Nikema Williams,Democratic,Georgia,5,, 85.1,42.0,B,03/01/2023
219,Representative,Lucy McBath,Democratic,Georgia,6,, 54.6,60.0,B,03/01/2023
220,Representative,Carolyn Bourdeaux,Democratic,Georgia,7,, 51.4,50.0,D,03/01/2023
221,Representative,Austin Scott,Republican,Georgia,8,, 64.5,51.0,B,03/01/2023
222,Representative,Andrew Clyde,Republican,Georgia,9,, 78.6,57.0,M,03/01/2023
223,Representative,Jody Hice,Republican,Georgia,10,, 62.3,60.0,D,03/01/2023
224,Representative,Barry Loudermilk,Republican,Georgia,11,, 60.4,57.0,B,03/01/2023
225,Representative,Rick W. Allen,Republican,Georgia,12,, 58.4,69.0,B,03/01/2023
226,Representative,David Scott,Democratic,Georgia,13,, 77.4,75.0,M,03/01/2023
227,Representative,Marjorie Taylor Greene,Republican,Georgia,14,, 74.7,46.0,B,03/01/2023
228,Representative,Ed Case,Democratic,Hawaii,1,, 72.0,68.0,D,03/01/2023
229,Representative,Kai Kahele,Democratic,Hawaii,2,, 63.0,46.0,B,03/01/2023
230,Representative,Russ Fulcher,Republican,Idaho,1,, 67.8,58.0,M,03/01/2023
231,Representative,Mike Simpson,Republican,Idaho,2,, 64.1,70.0,D,03/01/2023
232,Representative,Bobby Rush,Democratic,Illinois,1,, 73.8,74.0,M,03/01/2023
233,Representative,Robin Kelly,Democratic,Illinois,2,, 78.8,64.0,D,03/01/2023
234,Representative,Marie Newman,Democratic,Illinois,3,, 56.4,56.0,B,03/01/2023
235,Representative,"Jesús ""Chuy"" García",Democratic,Illinois,4,, 84.0,64.0,M,03/01/2023
236,Representative,Mike Quigley,Democratic,Illinois,5,, 70.8,62.0,D,03/01/2023
237,Representative,Sean Casten,Democratic,Illinois,6,, 52.8,49.0,M,03/01/2023
238,Representative,Danny K. Davis,Democratic,Illinois,7,, 80.4,79.0,D,03/01/2023
239,Representative,Raja Krishnamoorthi,Democratic,Illinois,8,, 73.2,47.0,D,03/01/2023
240,Representative,Jan Schakowsky,Democratic,Illinois,9,, 71.0,76.0,B,03/01/2023
241,Representative,Brad Schneider,Democratic,Illinois,10,, 63.9,59.0,M,03/01/2023
242,Representative,Bill Foster,Democratic,Illinois,11,, 63.3,65.0,D,03/01/2023
243,Representative,Mike Bost,Republican,Illinois,12,, 60.4,60.0,N,03/01/2023
244,Representative,Rodney Davis,Republican,Illinois,13,, 54.5,50.0,B,03/01/2023
245,Representative,Lauren Underwood,Democratic,Illinois,14,, 50.7,34.0,M,03/01/2023
246,Representative,Mary Miller,Republican,Illinois,15,, 73.5,61.0,B,03/01/2023
247,Representative,Adam Kinzinger,Republican,Illinois,16,, 64.7,42.0,B,03/01/2023
248,Representative,Cheri Bustos,Democratic,Illinois,17,, 52.0,59.0,M,03/01/2023
249,Representative,Darin LaHood,Republican,Illinois,18,, 70.4,52.0,D,03/01/2023
250,Representative,Frank J. Mrvan,Democratic,Indiana,1,, 56.6,51.0,B,03/01/2023
251,Representative,Jackie Walorski,Republican,Indiana,2,, 61.5,57.0,B,03/08/2022
252,Representative,Jim Banks,Republican,Indiana,3,, 67.8,41.0,M,03/01/2023
253,Representative,Jim Baird,Republican,Indiana,4,, 66.6,75.0,D,03/01/2023
254,Representative,Victoria Spartz,Republican,Indiana,5,, 50.0,42.0,M,03/01/2023
255,Representative,Greg Pence,Republican,Indiana,6,, 68.6,64.0,M,03/01/2023
256,Representative,André Carson,Democratic,Indiana,7,, 62.4,46.0,M,03/01/2023
257,Representative,Larry Bucshon,Republican,Indiana,8,, 66.9,58.0,D,03/01/2023
258,Representative,Trey Hollingsworth,Republican,Indiana,9,, 61.8,37.0,M,03/01/2023
259,Representative,Ashley Hinson,Republican,Iowa,1,, 51.2,37.0,B,03/01/2023
260,Representative,Mariannette Miller-Meeks,Republican,Iowa,2,, 49.912,65.0,D,03/01/2023
261,Representative,Cindy Axne,Democratic,Iowa,3,, 48.9,55.0,M,03/01/2023
262,Representative,Randy Feenstra,Republican,Iowa,4,, 62.0,51.0,M,03/01/2023
263,Representative,Tracey Mann,Republican,Kansas,1,, 71.2,44.0,B,03/01/2023
264,Representative,Jake LaTurner,Republican,Kansas,2,, 55.2,32.0,B,03/01/2023
265,Representative,Sharice Davids,Democratic,Kansas,3,, 53.6,40.0,D,03/01/2023
266,Representative,Ron Estes,Republican,Kansas,4,, 63.7,64.0,M,03/01/2023
267,Representative,James Comer,Republican,Kentucky,1,, 75.0,48.0,B,03/01/2023
268,Representative,Brett Guthrie,Republican,Kentucky,2,, 71.0,56.0,M,03/01/2023
269,Representative,John Yarmuth,Democratic,Kentucky,3,, 62.7,73.0,B,03/01/2023
270,Representative,Thomas Massie,Republican,Kentucky,4,, 67.1,49.0,M,03/01/2023
271,Representative,Hal Rogers,Republican,Kentucky,5,, 84.2,83.0,B,03/01/2023
272,Representative,Andy Barr,Republican,Kentucky,6,, 57.3,47.0,D,03/01/2023
273,Representative,Steve Scalise,Republican,Louisiana,1,, 72.2,55.0,B,03/01/2023
274,Representative,Cedric Richmond,Democratic,Louisiana,2,, 63.6,47.0,D,15/01/2021
275,Representative,Clay Higgins,Republican,Louisiana,3,, 67.8,59.0,N,03/01/2023
276,Representative,Mike Johnson,Republican,Louisiana,4,, 60.4,48.0,D,03/01/2023
277,Representative,Luke Letlow,Republican,Louisiana,5,, 62.0,,N,
278,Representative,Garret Graves,Republican,Louisiana,6,, 71.0,48.0,N,03/01/2023
279,Representative,Chellie Pingree,Democratic,Maine,1,, 62.2,65.0,B,03/01/2023
280,Representative,Jared Golden,Democratic,Maine,2,, 53.0,38.0,B,03/01/2023
281,Representative,Andy Harris,Republican,Maryland,1,, 63.4,63.0,D,03/01/2023
282,Representative,Dutch Ruppersberger,Democratic,Maryland,2,, 67.7,74.0,D,03/01/2023
283,Representative,John Sarbanes,Democratic,Maryland,3,, 69.8,58.0,D,03/01/2023
284,Representative,Anthony Brown,Democratic,Maryland,4,, 79.6,59.0,D,03/01/2023
